ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
78.159.43.189,,31148,Freenet LTD,UA,Kyiv,,,false,0.74,2021-05-16T16:27:31Z,2021-01-06T13:06:41Z
147.78.3.252,,48031,PE Ivanov Vitaliy Sergeevich,UA,Kyiv,,,true,1.00,2021-05-03T22:24:54Z,2021-04-12T16:19:00Z
93.157.12.248,,213375,Pe tk Amt,UA,,,,false,0.62,2021-10-08T08:02:57Z,2021-09-23T11:59:48Z
109.86.182.203,203.182.86.109.triolan.net.,13188,Content Delivery Network Ltd,UA,Kharkiv,,,false,0.63,2021-09-27T00:01:17Z,2021-09-23T14:38:14Z
109.200.156.102,ip102-156-200-109.crelcom.ru.,204144,Comfort XXI Century Ltd.,UA,Simferopol,,,false,1.00,2021-09-24T05:59:00Z,2021-09-24T05:59:00Z
91.194.239.122,,43400,Tov Neo-telecom,UA,,,,false,1.00,2021-09-24T06:14:41Z,2021-09-24T06:14:41Z
91.217.197.2,ns.golta.mk.ua.,197278,Golta Home Net,UA,,9.11.0,,false,1.00,2021-09-26T02:52:18Z,2021-09-26T02:52:18Z
176.98.95.247,,41096,TOV TV&Radio Company 'TIM',UA,Uman,,,false,1.00,2021-09-26T07:07:47Z,2021-09-26T07:07:47Z
188.163.170.130,SOL-FTTB.130.170.163.188.sovam.net.ua.,12530,Kyivstar PJSC,UA,,,,false,1.00,2021-11-09T22:12:36Z,2021-09-26T11:51:57Z
193.110.115.220,cable-home-193-110-115-220.dru.net.ua.,9205,SATELIT SERVIS Ltd,UA,Kramatorsk,,,false,1.00,2021-09-26T13:20:52Z,2021-09-26T13:20:52Z
188.190.245.135,unallocated.sta.lan.ua.,56433,LocalNet Ltd.,UA,Kyiv,,,false,1.00,2021-09-26T13:24:48Z,2021-09-26T13:24:48Z
91.225.226.39,39.226.225.91.homenet.kiev.ua.,43310,TOV LVS,UA,Kyiv,,,false,1.00,2021-09-27T08:47:19Z,2021-09-27T08:47:19Z
109.86.244.225,225.244.86.109.triolan.net.,13188,Content Delivery Network Ltd,UA,Kharkiv,,,false,1.00,2021-09-27T12:27:24Z,2021-09-27T12:27:24Z
37.53.85.116,116-85-53-37.pool.ukrtel.net.,6877,PJSC Ukrtelecom,UA,Mukacheve,,,false,0.75,2021-10-03T04:07:08Z,2021-09-27T15:25:31Z
46.172.223.34,pool.sevtele.com.,48330,FOP Sinev Maksim Viktorovich,UA,Simferopol,,,false,0.69,2021-11-29T13:41:41Z,2021-09-28T06:47:24Z
